Assigned to,animation_url,image,Moto Name,Top Chassis,Side Cart,Pattern,Color,Number Plate,Top Chassis is Correct?,Side Cart in Metadata is Correct?,Pattern # is Correct?,Color # is Correct?,Number Plate is Correct?,Any Other Animation Issues?,Any Other Image Issues?
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_IYJ3KLD0WNPKS.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_IYJ3KLD0WNPKS.jpeg,Moto,Exotic,Side Cart,Pattern 6,Color 1,WW-268,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_FVYWBMTW9WU1W.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_FVYWBMTW9WU1W.jpeg,Moto,Exotic,Side Cart,Pattern 6,Color 4,WW-269,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_EOFQAUTIK56CR.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_EOFQAUTIK56CR.jpeg,Moto,Exotic,None,Pattern 8,Color 2,WW-270,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_GQSXX8JNMLYFT.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_GQSXX8JNMLYFT.jpeg,Moto,Exotic,None,Pattern 1,Color 1,WW-271,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_5O5NRY71EDQAE.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_5O5NRY71EDQAE.jpeg,Moto,Exotic,None,Pattern 4,Color 4,WW-272,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_DMJT3OVI9WOQH.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_DMJT3OVI9WOQH.jpeg,Moto,Exotic,None,Pattern 5,Color 5,WW-273,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_CXAE1Y0243TYA.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_CXAE1Y0243TYA.jpeg,Moto,Exotic,None,Pattern 4,Color 5,WW-274,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_HT5GOW55AY97B.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_HT5GOW55AY97B.jpeg,Moto,Exotic,None,Pattern 1,Color 3,WW-275,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_ENGY8EO6S010H.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_ENGY8EO6S010H.jpeg,Moto,Exotic,None,Pattern 2,Color 0,WW-276,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_BYFSDM053UGLB.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_BYFSDM053UGLB.jpeg,Moto,Exotic,None,Pattern 3,Color 0,WW-277,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_HRDJEKRT9KY09.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_HRDJEKRT9KY09.jpeg,Moto,Exotic,None,Pattern 0,Color 6,WW-278,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_UTDFYH4QTRAQ1.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_UTDFYH4QTRAQ1.jpeg,Moto,Exotic,None,Pattern 1,Color 11,WW-279,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_XFLCO87Q0JL25.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_XFLCO87Q0JL25.jpeg,Moto,Exotic,None,Pattern 5,Color 2,WW-280,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_7NWGJTDNCEIEN.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_7NWGJTDNCEIEN.jpeg,Moto,Exotic,Side Cart,Pattern 1,Color 0,WW-281,,,,,,,
