Assigned to,animation_url,image,Moto Name,Top Chassis,Side Cart,Pattern,Color,Number Plate,Top Chassis is Correct?,Side Cart in Metadata is Correct?,Pattern # is Correct?,Color # is Correct?,Number Plate is Correct?,Any Other Animation Issues?,Any Other Image Issues?
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_G6RBIUBB3ZEEO.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_G6RBIUBB3ZEEO.jpeg,Moto,Sport,None,Pattern 1,Color 1,WW-867,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_0TNHVRQHJF07L.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_0TNHVRQHJF07L.jpeg,Moto,Sport,None,Pattern 5,Color 0,WW-868,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_0UHJOE96EQAWF.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_0UHJOE96EQAWF.jpeg,Moto,Sport,None,Pattern 0,Color 6,WW-869,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_ZERSPE3XFYGJQ.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_ZERSPE3XFYGJQ.jpeg,Moto,Sport,None,Pattern 0,Color 7,WW-870,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_C15J5RMAC6BR5.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_C15J5RMAC6BR5.jpeg,Moto,Sport,None,Pattern 1,Color 1,WW-871,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_RU7A3BLWY0CTS.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_RU7A3BLWY0CTS.jpeg,Moto,Sport,None,Pattern 3,Color 1,WW-872,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_9SO6HCORT1908.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_9SO6HCORT1908.jpeg,Moto,Sport,None,Pattern 4,Color 3,WW-873,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_N7PW536LJZUK4.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_N7PW536LJZUK4.jpeg,Moto,Sport,None,Pattern 7,Color 0,WW-874,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_9M5RU4NPTZOTW.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_9M5RU4NPTZOTW.jpeg,Moto,Sport,None,Pattern 8,Color 0,WW-875,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_493E60G4HMOKA.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_493E60G4HMOKA.jpeg,Moto,Sport,None,Pattern 8,Color 4,WW-876,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_1L77FA3JPN46K.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_1L77FA3JPN46K.jpeg,Moto,Sport,None,Pattern 4,Color 2,WW-877,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_U46SPLVKREM1V.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_U46SPLVKREM1V.jpeg,Moto,Sport,None,Pattern 5,Color 9,WW-878,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_2VOCWM1ACMZTO.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_2VOCWM1ACMZTO.jpeg,Moto,Sport,None,Pattern 3,Color 3,WW-879,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_4MEVRNGBF8ADU.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_4MEVRNGBF8ADU.jpeg,Moto,Sport,None,Pattern 0,Color 5,WW-880,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_PZIVUERVO5PJI.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_PZIVUERVO5PJI.jpeg,Moto,Sport,None,Pattern 5,Color 1,WW-881,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_FFMQ1O0VGKB1M.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_FFMQ1O0VGKB1M.jpeg,Moto,Sport,None,Pattern 8,Color 1,WW-882,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_1VX63XJMJZC4G.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_1VX63XJMJZC4G.jpeg,Moto,Sport,None,Pattern 6,Color 0,WW-883,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_8QQEFM7LT6BYS.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_8QQEFM7LT6BYS.jpeg,Moto,Sport,None,Pattern 2,Color 1,WW-884,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_3OOLR5U2JCXT9.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_3OOLR5U2JCXT9.jpeg,Moto,Sport,Side Cart,Pattern 0,Color 9,WW-885,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_ONWS4K0X6D5LW.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_ONWS4K0X6D5LW.jpeg,Moto,Sport,None,Pattern 3,Color 1,WW-886,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_4IZSWYAFLTTPH.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_4IZSWYAFLTTPH.jpeg,Moto,Sport,None,Pattern 7,Color 0,WW-887,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_0TIY9TWQEUQSU.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_0TIY9TWQEUQSU.jpeg,Moto,Sport,None,Pattern 8,Color 0,WW-888,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_L495NW3IVXA1S.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_L495NW3IVXA1S.jpeg,Moto,Sport,None,Pattern 3,Color 0,WW-889,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_AO6XNHSTQVRN4.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_AO6XNHSTQVRN4.jpeg,Moto,Sport,None,Pattern 2,Color 3,WW-890,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_PWHEJ3AOIQD6X.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_PWHEJ3AOIQD6X.jpeg,Moto,Sport,None,Pattern 1,Color 0,WW-891,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_1DV54SSK57U9Y.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_1DV54SSK57U9Y.jpeg,Moto,Sport,None,Pattern 3,Color 2,WW-892,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_5ZVBD3I1C3NL0.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_5ZVBD3I1C3NL0.jpeg,Moto,Sport,None,Pattern 0,Color 1,WW-893,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_K8FPLB533JBEQ.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_K8FPLB533JBEQ.jpeg,Moto,Sport,None,Pattern 4,Color 1,WW-894,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_3NFHMOQUUWR1C.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_3NFHMOQUUWR1C.jpeg,Moto,Sport,None,Pattern 0,Color 3,WW-895,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_KJF6FC5GKYTWM.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_KJF6FC5GKYTWM.jpeg,Moto,Sport,None,Pattern 4,Color 0,WW-896,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_8A9YAA89E96DE.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_8A9YAA89E96DE.jpeg,Moto,Sport,None,Pattern 8,Color 0,WW-897,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_1YYHF9K2EAA1S.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_1YYHF9K2EAA1S.jpeg,Moto,Sport,None,Pattern 1,Color 2,WW-898,,,,,,,
PanzeR Wilder,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_AQHF0933DIH6A.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_AQHF0933DIH6A.jpeg,Moto,Sport,None,Pattern 0,Color 3,WW-899,,,,,,,
